ID,PersonNumber,PersonIdCode,LastName,FirstName,GenderAsString
1,1,2200,Aguet,Pierre,m
2,2,2002,Allenspach,Heinz,m
6,6,2004,Aregger,Manfred,m
7,7,2005,Aubry,Geneviève,f
8,8,2008,Bär,Rosmarie,f
9,9,2268,Baumann,Ruedi,m
10,10,2269,Baumberger,Peter,m
11,11,2011,Bäumlin,Ursula,f
12,12,2335,Beerli,Christine,f
13,13,2202,Béguin,Thierry,m
14,14,2264,Bezzola,Duri,m
15,15,2270,Binder,Max,m
16,16,2260,Bircher,Peter,m
17,17,2015,Bircher,Silvio,m
18,18,2271,Bischof,Hardi,m
19,19,2336,Bisig,Hans,m
20,20,2016,Blatter,Ulrich,m
21,21,2017,Blocher,Christoph,m
22,22,2337,Bloetzer,Peter,m
23,23,2018,Bodenmann,Peter,m
24,24,2019,Bonny,Jean-Pierre,m
25,25,2021,Borel,François,m
26,26,2272,Borer,Roland F.,m
27,27,2273,Borradori,Marco,m
28,28,2274,Bortoluzzi,Toni,m
29,29,2025,Brügger,Cyrill,m
30,30,2275,Brunner,Christiane,f
31,31,2250,Bühler,Robert,m
32,32,2026,Bühler,Simeon,m
33,33,2276,Bühlmann,Cécile,f
34,34,2277,Bührer,Gerold,m
35,35,2027,Bundi,Martin,m
36,36,2029,Bürgi,Jakob,m
37,37,2030,Büttiker,Rolf,m
38,38,2031,Caccia,Fulvio,m
39,39,2032,Carobbio,Werner,m
40,40,2279,Caspar-Hutter,Elisabeth,f
41,41,2204,Cavadini,Jean,m
42,42,2033,Cavadini,Adriano,m
43,43,2205,Cavelty,Luregn Mathias,m
44,44,2280,Chevallaz,Olivier,m
45,45,2035,Cincera,Ernst,m
46,46,2036,Columberg,Dumeni,m
47,47,2281,Comby,Bernard,m
48,48,2037,Cotti,Gianfranco,m
49,49,2206,Cottier,Anton,m
50,50,2038,Couchepin,Pascal,m
51,51,2039,Coutau,Gilbert,m
52,52,2247,Daepp-Heiniger,Susanna,f
53,53,2207,Danioth,Hans,m
54,54,2040,Danuser,Menga,f
55,55,2041,Darbellay,Vital,m
56,56,2282,de Dardel,Jean-Nils,m
57,57,2042,David,Eugen,m
58,58,2283,Deiss,Joseph,m
59,59,2208,Delalay,Edouard,m
60,60,2284,Dettling,Toni,m
61,61,2044,Diener Lenz,Verena,f
63,63,2046,Dormann,Rosmarie,f
64,64,2047,Dreher,Michael E.,m
65,65,2210,Ducret,Dominique,m
66,66,2049,Dünki,Max,m
67,67,2285,Duvoisin,Pierre,m
69,69,2258,Eggenberger,Georges,m
70,70,2051,Eggly,Jacques-Simon,m
71,71,2053,Engler,Rolf,m
72,72,2286,Epiney,Simon,m
73,73,2055,Etique,Pierre,m
74,74,2287,Eymann,Christoph,m
75,75,2058,Fankhauser,Angeline,f
76,76,2288,Fasel,Hugo,m
77,77,2289,Fehr,Lisbeth,f
78,78,2290,von Felten,Margrith,f
79,79,2064,Fischer,Theo,m
80,80,2063,Fischer,Theo,m
81,81,2065,Fischer,Ulrich,m
82,82,2211,Flückiger,Michel,m
83,83,2066,Frey,Claude,m
84,84,2067,Frey,Walter,m
85,85,2338,Frick,Bruno,m
86,86,2291,Fritschi,Oscar,m
87,87,2069,Früh,Hans-Rudolf,m
88,88,2212,Gadient,Ulrich,m
89,89,2253,Gardiol,Irène,f
90,90,2339,Gemperli,Paul,m
91,91,2292,Giezendanner,Ulrich,m
92,92,2070,Giger,Titus,m
93,93,2293,Gobet,Alexis,m
94,94,2294,Goll,Christine,f
95,95,2295,Gonseth,Ruth,f
96,96,2073,Grendelmeier,Verena,f
97,97,2296,Gross,Andreas,m
98,98,2266,Grossenbacher-Schmid,Ruth,f
99,99,2075,Guinand,Jean,m
100,100,2077,Gysin,Hans Rudolf,m
101,101,2254,Haering,Barbara,f
102,102,2078,Hafner,Rudolf,m
103,103,2079,Hafner,Ursula,f
104,104,2080,Haller,Gret,f
105,105,2298,Hämmerle,Andrea,m
106,106,2082,Hari,Fritz,m
107,107,2267,Heberlein,Trix,f
108,108,2299,Hegetschweiler,Rolf,m
109,109,2083,Herczog,Andreas,m
110,110,2084,Hess,Otto,m
111,111,2085,Hess,Peter,m
112,112,2086,Hildbrand,Franz-Joseph,m
113,113,2300,Hollenstein,Pia,f
114,114,2089,Hubacher,Helmut,m
115,115,2216,Huber,Hans Jörg,m
116,116,2218,Iten,Andreas,m
117,117,2092,Jaeger,Franz,m
118,118,2301,Jäggi,Paul,m
119,119,2220,Jagmetti,Riccardo,m
120,120,2094,Jeanprêtre,Francine,f
121,121,2302,Jenni,Peter,m
122,122,2303,Jöri,Werner,m
123,123,2096,Keller,Anton,m
124,124,2304,Keller,Rudolf,m
125,125,2305,Kern,Armin,m
126,126,2222,Küchler,Niklaus,m
127,127,2098,Kühne,Josef,m
128,128,2223,Kündig,Markus,m
129,129,2100,Ledergerber,Elmar,m
130,130,2263,Leemann,Ursula,f
131,131,2306,Leu,Josef,m
132,132,2101,Leuba,Jean-François,m
133,133,2102,Leuenberger,Ernst,m
134,134,2103,Leuenberger,Moritz,m
135,135,2104,Loeb,François,m
136,136,2106,Loretan,Willy,m
137,137,2108,Maeder,Herbert,m
138,138,2109,Maitre,Jean-Philippe,m
139,139,2307,Mamie,Philippe,m
140,140,2308,Marti,Werner,m
141,141,2110,Martin,Jacques,m
142,142,2309,Maspoli,Flavio,m
143,143,2113,Matthey,Francis,m
144,144,2114,Mauch,Rolf,m
145,145,2115,Mauch,Ursula,f
146,146,2310,Maurer,Ueli,m
147,147,2117,Meier,Hans,m
148,148,2227,Meier,Josi J.,f
149,149,2265,Meier,Samuel,m
150,150,2261,Meyer,Theo,m
151,151,2311,Miesch,Christian,m
152,152,2312,Misteli,Marguerite,f
153,153,2340,Morniroli,Giorgio,m
154,154,2313,Moser,René,m
155,155,2123,Müller,Reinhard,m
156,156,2124,Nabholz,Lili,f
157,157,2314,Narbel,Jean-Marc,m
158,158,2125,Nebiker,Hans-Rudolf,m
159,159,2126,Neuenschwander,Willi,m
160,160,2130,Oehler,Edgar,m
161,161,2229,Onken,Thomas,m
162,162,2135,Perey,André,m
163,163,2136,Petitpierre,Gilles,m
164,164,2137,Philipona,Jean-Nicolas,m
165,165,2138,Pidoux,Philippe,m
166,166,2230,Piller,Otto,m
167,167,2139,Pini,Massimo,m
168,168,2341,Plattner,Gian-Reto,m
169,169,2315,Poncet,Charles,m
170,170,2316,Raggenbass,Hansueli,m
171,171,2142,Rebeaud,Laurent,m
172,172,2143,Rechsteiner,Paul,m
173,173,2147,Reimann,Maximilian,m
174,174,2232,Reymond,Hubert,m
175,175,2233,Rhinow,René,m
176,176,2256,Rhyner,Kaspar,m
177,177,2317,Robert-Bächtold,Leni,f
178,178,2148,Rohrbasser,Bernard,m
179,179,2234,Roth,Jean-François,m
180,180,2149,Ruckstuhl,Hans,m
181,181,2235,Rüesch,Ernst,m
182,182,2150,Ruf,Markus,m
183,183,2151,Ruffy,Victor,m
184,184,2152,Rutishauser,Paul,m
185,185,2154,Rychen,Albrecht,m
186,186,2156,Salvioni,Sergio,m
187,187,2318,Sandoz,Suzette,f
188,188,2158,Savary,Pierre,m
189,189,2259,Schallberger,Peter-Josef,m
190,190,2159,Scheidegger,Urs,m
191,191,2160,Scherrer,Jürg,m
192,192,2319,Scherrer,Werner,m
193,193,2320,Scheurer,Rémy,m
194,194,2257,Schiesser,Fritz,m
195,195,2236,Schmid-Sutter,Carlo,m
196,196,2161,Schmid,Peter,m
197,197,2162,Schmidhalter,Paul,m
198,198,2321,Schmied,Walter,m
199,199,2163,Schnider,Theodor,m
200,200,2237,Schoch,Otto,m
