ID,Language,SessionNumber,SessionName,Abbreviation,StartDate,EndDate,Title,Type,TypeName,Modified,LegislativePeriodNumber
4601,DE,1,Wintersession 1999,WI99,/Date(944438400000)/,/Date(945820800000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637743)/,46
4602,DE,2,Frühjahrssession 2000,FS00,/Date(952300800000)/,/Date(953856000000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631693)/,46
4603,DE,3,Sommersession 2000,SS00,/Date(960163200000)/,/Date(961718400000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631820)/,46
4604,DE,4,Herbstsession 2000,HS00,/Date(969235200000)/,/Date(970790400000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961629990)/,46
4605,DE,5,Wintersession 2000,WS00,/Date(975283200000)/,/Date(976838400000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638760)/,46
4606,DE,6,Frühjahrssession 2001,FS01,/Date(983750400000)/,/Date(985305600000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637840)/,46
4607,DE,7,Sondersession Mai 2001,Mai01,/Date(989193600000)/,/Date(989366400000)/,NA,3,Sondersession (1 Woche),/Date(1598961632757)/,46
4608,DE,8,Sommersession 2001,SS01,/Date(991699200000)/,/Date(993168000000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638230)/,46
4609,DE,9,Herbstsession 2001,HS01,/Date(1000684800000)/,/Date(1002240000000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961630897)/,46
4610,DE,10,Ausserordentliche Session November 2001,aoNov,/Date(1005868800000)/,/Date(1005955200000)/,NA,16,Ausserordentliche Session,/Date(1609949506943)/,46
4611,DE,11,Wintersession 2001,WS01,/Date(1006732800000)/,/Date(1008288000000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961630930)/,46
4612,DE,12,Frühjahrssession 2002,FS02,/Date(1015200000000)/,/Date(1016755200000)/,NA,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638680)/,46
4613,DE,13,Sondersession April 2002,SoApril02,/Date(1018828800000)/,/Date(1019001600000)/,NA,3,Sondersession (1 Woche),/Date(1598961638387)/,46
4614,DE,14,Sommersession 2002,SS02,/Date(1023062400000)/,/Date(1024617600000)/,II/2002,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637917)/,46
4615,DE,15,Herbstsession 2002,HS02,/Date(1032134400000)/,/Date(1033689600000)/,III/2002,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638290)/,46
4616,DE,16,Wintersession 2002,WS02,/Date(1038182400000)/,/Date(1039737600000)/,IV/2002,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961628460)/,46
4617,DE,17,Frühjahrssession 2003,FS03,/Date(1046649600000)/,/Date(1048204800000)/,I/2003,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961639387)/,46
4618,DE,18,Sondersession Mai 2003,SoMai03,/Date(1052092800000)/,/Date(1052352000000)/,II/2003,3,Sondersession (1 Woche),/Date(1598961633273)/,46
4619,DE,19,Sommersession 2003,SS03,/Date(1054512000000)/,/Date(1056067200000)/,II/2003,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631147)/,46
4620,DE,20,Herbstsession 2003,HS03,/Date(1063584000000)/,/Date(1065139200000)/,III/2003,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961630790)/,46
4701,DE,1,Wintersession 2003,WS03,/Date(1070236800000)/,/Date(1071792000000)/,IV/2003,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637540)/,47
4702,DE,2,Frühjahrssession 2004,FS04,/Date(1078099200000)/,/Date(1079654400000)/,I/2004,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638900)/,47
4703,DE,3,Sondersession Mai 2004,Mai04,/Date(1083542400000)/,/Date(1083888000000)/,II/2004,3,Sondersession (1 Woche),/Date(1598961632337)/,47
4704,DE,4,Sommersession 2004,SS04,/Date(1086048000000)/,/Date(1087516800000)/,II/2004,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961632587)/,47
